HoraID,Hora,Turno
935,15:34:00,Tarde
936,15:35:00,Tarde
937,15:36:00,Tarde
938,15:37:00,Tarde
939,15:38:00,Tarde
940,15:39:00,Tarde
941,15:40:00,Tarde
942,15:41:00,Tarde
943,15:42:00,Tarde
944,15:43:00,Tarde
945,15:44:00,Tarde
946,15:45:00,Tarde
947,15:46:00,Tarde
948,15:47:00,Tarde
949,15:48:00,Tarde
950,15:49:00,Tarde
951,15:50:00,Tarde
952,15:51:00,Tarde
953,15:52:00,Tarde
954,15:53:00,Tarde
955,15:54:00,Tarde
956,15:55:00,Tarde
957,15:56:00,Tarde
958,15:57:00,Tarde
959,15:58:00,Tarde
960,15:59:00,Tarde
961,16:00:00,Tarde
962,16:01:00,Tarde
963,16:02:00,Tarde
964,16:03:00,Tarde
965,16:04:00,Tarde
966,16:05:00,Tarde
967,16:06:00,Tarde
968,16:07:00,Tarde
969,16:08:00,Tarde
970,16:09:00,Tarde
971,16:10:00,Tarde
972,16:11:00,Tarde
973,16:12:00,Tarde
974,16:13:00,Tarde
975,16:14:00,Tarde
976,16:15:00,Tarde
977,16:16:00,Tarde
978,16:17:00,Tarde
979,16:18:00,Tarde
980,16:19:00,Tarde
981,16:20:00,Tarde
982,16:21:00,Tarde
983,16:22:00,Tarde
984,16:23:00,Tarde
985,16:24:00,Tarde
986,16:25:00,Tarde
987,16:26:00,Tarde
988,16:27:00,Tarde
989,16:28:00,Tarde
990,16:29:00,Tarde
991,16:30:00,Tarde
992,16:31:00,Tarde
993,16:32:00,Tarde
994,16:33:00,Tarde
995,16:34:00,Tarde
996,16:35:00,Tarde
997,16:36:00,Tarde
998,16:37:00,Tarde
999,16:38:00,Tarde
1000,16:39:00,Tarde
1001,16:40:00,Tarde
1002,16:41:00,Tarde
1003,16:42:00,Tarde
1004,16:43:00,Tarde
1005,16:44:00,Tarde
1006,16:45:00,Tarde
1007,16:46:00,Tarde
1008,16:47:00,Tarde
1009,16:48:00,Tarde
1010,16:49:00,Tarde
1011,16:50:00,Tarde
1012,16:51:00,Tarde
1013,16:52:00,Tarde
1014,16:53:00,Tarde
1015,16:54:00,Tarde
1016,16:55:00,Tarde
1017,16:56:00,Tarde
1018,16:57:00,Tarde
1019,16:58:00,Tarde
1020,16:59:00,Tarde
1021,17:00:00,Tarde
1022,17:01:00,Tarde
1023,17:02:00,Tarde
1024,17:03:00,Tarde
1025,17:04:00,Tarde
1026,17:05:00,Tarde
1027,17:06:00,Tarde
1028,17:07:00,Tarde
1029,17:08:00,Tarde
1030,17:09:00,Tarde
1031,17:10:00,Tarde
1032,17:11:00,Tarde
1033,17:12:00,Tarde
1034,17:13:00,Tarde
1035,17:14:00,Tarde
1036,17:15:00,Tarde
1037,17:16:00,Tarde
1038,17:17:00,Tarde
1039,17:18:00,Tarde
1040,17:19:00,Tarde
1041,17:20:00,Tarde
1042,17:21:00,Tarde
1043,17:22:00,Tarde
1044,17:23:00,Tarde
1045,17:24:00,Tarde
